totalSupply,created_at
17,2021-08-29 00:00:49.476 UTC
14,2021-08-29 00:01:24.627 UTC
18,2021-08-29 00:06:54.395 UTC
13,2021-08-29 00:07:13.523 UTC
19,2021-08-29 00:07:34.048 UTC
15,2021-08-29 00:10:35.905 UTC
12,2021-08-29 00:14:49.145 UTC
21,2021-08-29 00:15:53.939 UTC
7,2021-08-29 00:19:29.360 UTC
10,2021-08-29 00:56:52.772 UTC
10,2021-08-29 00:57:54 UTC
10,2021-08-29 00:58:11.658 UTC
9,2021-08-29 00:59:49.325 UTC
9,2021-08-29 01:00:07.077 UTC
6,2021-08-29 01:00:42.844 UTC
6,2021-08-29 01:01:03.799 UTC
3,2021-08-29 01:03:20.931 UTC
2,2021-08-29 02:34:20.784 UTC
2,2021-08-29 02:34:30.744 UTC
19,2021-08-29 06:19:46.569 UTC
58,2021-08-29 07:03:43.706 UTC
14,2021-08-29 07:06:41.643 UTC
23,2021-08-29 07:14:07.792 UTC
58,2021-08-29 07:16:25.373 UTC
63,2021-08-29 07:16:39.070 UTC
62,2021-08-29 07:17:16.605 UTC
61,2021-08-29 07:19:34.023 UTC
22,2021-08-29 07:20:11.082 UTC
16,2021-08-29 07:22:20.724 UTC
22,2021-08-29 07:23:25.047 UTC
71,2021-08-29 07:23:52.220 UTC
72,2021-08-29 07:27:31.745 UTC
22,2021-08-29 07:28:25.865 UTC
23,2021-08-29 07:28:44.337 UTC
67,2021-08-29 07:28:52.135 UTC
69,2021-08-29 07:29:02.197 UTC
64,2021-08-29 07:30:35.946 UTC
22,2021-08-29 07:31:16.934 UTC
63,2021-08-29 07:31:45.845 UTC
19,2021-08-29 07:35:24.185 UTC
25,2021-08-29 07:36:18.144 UTC
21,2021-08-29 07:36:29.255 UTC
71,2021-08-29 07:38:54.907 UTC
73,2021-08-29 07:39:24.234 UTC
24,2021-08-29 07:39:50.139 UTC
23,2021-08-29 07:40:27.423 UTC
66,2021-08-29 07:43:42.960 UTC
20,2021-08-29 07:46:29.674 UTC
65,2021-08-29 07:47:38.020 UTC
17,2021-08-29 07:50:19.244 UTC
17,2021-08-29 07:50:20.906 UTC
18,2021-08-29 07:50:22.416 UTC
80,2021-08-29 07:50:52.751 UTC
12,2021-08-29 07:51:51.808 UTC
84,2021-08-29 07:51:57.469 UTC
71,2021-08-29 07:52:07.309 UTC
13,2021-08-29 07:52:18.442 UTC
88,2021-08-29 07:52:32.508 UTC
26,2021-08-29 07:52:36.287 UTC
28,2021-08-29 07:52:58.946 UTC
60,2021-08-29 07:53:30.594 UTC
32,2021-08-29 07:54:04.715 UTC
30,2021-08-29 07:54:17.143 UTC
85,2021-08-29 07:54:39.087 UTC
83,2021-08-29 07:54:46.112 UTC
37,2021-08-29 07:55:14.390 UTC
32,2021-08-29 07:55:18.807 UTC
35,2021-08-29 07:55:43.377 UTC
35,2021-08-29 07:56:02.131 UTC
83,2021-08-29 07:56:03.855 UTC
8,2021-08-29 07:56:38.514 UTC
9,2021-08-29 07:57:29.678 UTC
9,2021-08-29 07:57:37.882 UTC
38,2021-08-29 07:57:45.400 UTC
9,2021-08-29 07:57:51.412 UTC
86,2021-08-29 07:58:44.330 UTC
8,2021-08-29 08:00:16.922 UTC
8,2021-08-29 08:00:21.369 UTC
8,2021-08-29 08:00:25.207 UTC
8,2021-08-29 08:00:30.375 UTC
85,2021-08-29 08:00:30.832 UTC
80,2021-08-29 08:00:47.007 UTC
95,2021-08-29 08:02:41.535 UTC
28,2021-08-29 08:03:48.703 UTC
28,2021-08-29 08:04:08.970 UTC
103,2021-08-29 08:04:38.268 UTC
101,2021-08-29 08:05:03.923 UTC
105,2021-08-29 08:05:31.128 UTC
89,2021-08-29 08:07:26.611 UTC
87,2021-08-29 08:07:47.651 UTC
20,2021-08-29 08:07:47.815 UTC
21,2021-08-29 08:08:24.519 UTC
21,2021-08-29 08:08:26.417 UTC
21,2021-08-29 08:08:28.003 UTC
16,2021-08-29 08:08:44.882 UTC
110,2021-08-29 08:09:50.090 UTC
111,2021-08-29 08:10:10.464 UTC
114,2021-08-29 08:10:28.286 UTC
107,2021-08-29 08:10:43.305 UTC
117,2021-08-29 08:10:48.897 UTC
94,2021-08-29 08:11:11.645 UTC
122,2021-08-29 08:11:42.006 UTC
121,2021-08-29 08:12:22.562 UTC
35,2021-08-29 08:13:05.117 UTC
17,2021-08-29 08:14:15.912 UTC
121,2021-08-29 08:15:50.857 UTC
121,2021-08-29 08:16:19.197 UTC
115,2021-08-29 08:16:20.147 UTC
117,2021-08-29 08:16:44.151 UTC
124,2021-08-29 08:17:34.997 UTC
115,2021-08-29 08:17:50.966 UTC
118,2021-08-29 08:18:43.537 UTC
112,2021-08-29 08:18:59.160 UTC
121,2021-08-29 08:19:07.599 UTC
121,2021-08-29 08:19:09.959 UTC
124,2021-08-29 08:19:26.239 UTC
70,2021-08-29 08:20:21.778 UTC
25,2021-08-29 08:22:17.312 UTC
114,2021-08-29 08:23:04.539 UTC
113,2021-08-29 08:23:26.672 UTC
34,2021-08-29 08:23:44.919 UTC
13,2021-08-29 08:23:48.910 UTC
33,2021-08-29 08:23:58.683 UTC
25,2021-08-29 08:24:19.274 UTC
24,2021-08-29 08:25:00.501 UTC
114,2021-08-29 08:25:03.208 UTC
114,2021-08-29 08:27:00.080 UTC
31,2021-08-29 08:27:06.870 UTC
54,2021-08-29 08:27:20.540 UTC
101,2021-08-29 08:27:37.769 UTC
115,2021-08-29 08:28:29.294 UTC
115,2021-08-29 08:28:47.898 UTC
120,2021-08-29 08:29:00.785 UTC
122,2021-08-29 08:29:29.839 UTC
30,2021-08-29 08:29:46.308 UTC
30,2021-08-29 08:29:58.613 UTC
30,2021-08-29 08:30:00.725 UTC
31,2021-08-29 08:30:09.259 UTC
127,2021-08-29 08:30:18.253 UTC
34,2021-08-29 08:30:26.464 UTC
61,2021-08-29 08:31:13.260 UTC
137,2021-08-29 08:31:22.638 UTC
10,2021-08-29 08:31:24.807 UTC
130,2021-08-29 08:31:47.262 UTC
41,2021-08-29 08:32:25.908 UTC
132,2021-08-29 08:32:28.431 UTC
125,2021-08-29 08:32:34.827 UTC
17,2021-08-29 08:32:37.986 UTC
123,2021-08-29 08:32:47.830 UTC
