ds,s,d
2021-07-28 17:34:00 UTC,166,4
2021-07-28 17:35:00 UTC,266,6.666666666666667
2021-07-28 17:36:00 UTC,160,6.333333333333333
2021-07-28 17:37:00 UTC,197,6.5
2021-07-28 17:38:00 UTC,215.75,8.75
2021-07-28 17:39:00 UTC,150.33333333333334,7.666666666666667
2021-07-28 17:40:00 UTC,319,9
2021-07-28 17:41:00 UTC,215.625,13.875
2021-07-28 17:42:00 UTC,210.4,10.4
2021-07-28 17:43:00 UTC,205.57142857142858,12.571428571428571
2021-07-28 17:44:00 UTC,182.75,15
2021-07-28 17:45:00 UTC,142.5,14.5
2021-07-28 17:46:00 UTC,178.66666666666666,12
2021-07-28 17:47:00 UTC,240,12.333333333333334
2021-07-28 17:48:00 UTC,201,12
2021-07-28 17:49:00 UTC,190.75,12.25
2021-07-28 17:50:00 UTC,172.83333333333334,11.666666666666666
2021-07-28 17:51:00 UTC,208.28571428571431,15
2021-07-28 17:52:00 UTC,269,15
2021-07-28 17:53:00 UTC,259.25,14.75
2021-07-28 17:54:00 UTC,259.83333333333337,17.166666666666664
2021-07-28 17:55:00 UTC,244.5,16.666666666666668
2021-07-28 17:56:00 UTC,242.75,13.75
2021-07-28 17:57:00 UTC,292.8,19.4
2021-07-28 17:58:00 UTC,153,12
2021-07-28 17:59:00 UTC,215,11.285714285714286
2021-07-28 18:00:00 UTC,248.5,10.5
2021-07-28 18:01:00 UTC,242.22222222222223,10.666666666666666
2021-07-28 18:02:00 UTC,216.4,9.8
2021-07-28 18:03:00 UTC,246.5,8.75
2021-07-28 18:04:00 UTC,194.5,7.75
2021-07-28 18:05:00 UTC,235.5,9
2021-07-28 18:07:00 UTC,195,9.3333333333333339
2021-07-28 18:08:00 UTC,212,9
2021-07-28 18:09:00 UTC,207.75,14.25
2021-07-28 18:10:00 UTC,280,13
2021-07-28 18:11:00 UTC,161,12.8
2021-07-28 18:12:00 UTC,225.16666666666666,12.5
2021-07-28 18:13:00 UTC,185.4,11.2
2021-07-28 18:14:00 UTC,185.8,9.6
2021-07-28 18:15:00 UTC,134,10
2021-07-28 18:16:00 UTC,196.5,8
2021-07-28 18:17:00 UTC,137,6
2021-07-28 18:18:00 UTC,140.11111111111111,5.666666666666667
2021-07-28 18:19:00 UTC,142.83333333333331,5.833333333333333
2021-07-28 18:20:00 UTC,214.66666666666666,9
2021-07-28 18:21:00 UTC,253,7.666666666666667
2021-07-28 18:22:00 UTC,178.66666666666669,9.5
2021-07-28 18:23:00 UTC,230.4,12
2021-07-28 18:24:00 UTC,118,6
