wtime,taskid
299,ccc6e17a-94aa-4a76-bfb4-f1b3d0b8bc4d
577,ccc6e542-941c-41dc-b879-21c414962117
482,ccc6e30c-3164-4491-acc6-8fe40c365e79
398,ccc6ec6a-1689-43fa-9af7-3621e3575908
586,ccc6ecfd-bfa9-48b5-aa76-f81f492dfaac
544,ccc6e4ca-530b-4c8b-9879-5867ccf270dd
152,ccc6e651-2bee-4eca-9cce-63c3ca1e2d29
403,ccc6e6f5-63a4-4f3a-9074-188d521fd3b1
119,ccc6ea5f-1cc3-48e7-b9da-3e0cb3906fad
91,ccc6ef6c-dda9-422e-b833-7c1984db3fb4
125,ccc6ee12-5f25-4a41-8d51-2cb261f3d082
352,ccc6e6ee-066f-4a42-bada-9b4061a84c08
19,ccc6e7b8-ba5c-46c2-b219-6aac2010af82
249,ccc6e37e-7bdb-4547-a90b-c1f2991512b0
80,ccc6e139-ca62-490c-96de-4a35f055dc5b
51,ccc6ed66-0fac-4ca8-9062-c80c01a1d294
371,ccc6ede3-05ba-443b-a362-7d2373a359c9
21,ccc6e76d-cd48-44c7-a95d-18de4d323af1
366,ccc6ed3d-a43c-4ba7-87d8-34a0bf2932c1
334,ccc6e49f-efa4-4553-8e64-4e945b745ac5
231,ccc6ec8e-9b4e-42a4-b37f-fd2ca71f8955
222,ccc6e72e-4604-4793-a4ea-c6f95efc5a48
217,ccc6e1a5-b6d9-4527-8b28-b69582c07150
299,ccc6e65d-52ad-42a8-aab1-67b885e370d0
215,ccc6ec29-8e9d-497e-b280-2b59c2d0d8a0
65,ccc6e9d1-d530-4496-a6b3-4c797dfb3746
257,ccc6ec7a-dfdc-4b25-9b74-82d9b80e0f0f
72,ccc6ecdb-4dd6-4388-93bd-c7bb0e7eefad
204,ccc6eb80-d26d-4597-811a-3c7bc70db0f2
273,ccc6eb11-7948-4579-9b00-c204b6498ed3
574,ccc6e413-ed8d-45be-a18e-77c42465fbe3
355,ccc6e4e0-29eb-4ef4-9faa-379e14957df2
573,ccc6e661-9426-4842-9034-f2b4327de962
162,ccc6e0d7-bc8f-4533-b917-6c93b0f67105
129,ccc6ead1-72e8-47c1-98fc-0330a1d7897e
111,ccc6efb2-1341-41ce-becc-d5b0007d1171
135,ccc6efad-3c84-4ef9-9c46-8209de6c7d92
108,ccc6e377-ca87-40e0-807b-118799c51ddd
114,ccc6e8d2-6ecb-4ae2-9ff7-a7cb5cc40579
783,ccc6eef9-bcb5-476f-9ff0-4495925e452c
517,ccc6e763-cfe1-4ec5-bf64-dfcde819b1bf
149,ccc6e180-e100-4668-9961-44a82035b051
225,ccc6e43f-a2a8-4f34-a1fa-c97aacdf5c31
582,ccc6e9e6-cf59-40cc-8f14-f39271b5663c
245,ccc6e63c-98aa-4af9-8aaa-ab9953103255
362,ccc6e4da-6842-4ff5-98ee-d00edf70387d
282,ccc6e214-2f4b-4052-917a-577b90f42e0b
224,ccc6ed2b-4b85-459e-b52e-8256cfa0ad72
125,ccc6e508-3f8f-4308-8ba6-de72f7f9f730
582,ccc6e9c5-ebeb-4801-a2ff-6e358c621b79
77,ccc6ede8-6a08-46c3-af82-cb2737d3ef19
570,ccc6eca2-fde1-4525-b608-6730db3d39b4
77,ccc6e827-9aaf-4260-975d-99aa981b08f2
20,ccc6e929-1a29-4cce-b82b-765b22764fe7
152,ccc6ecf9-8618-419b-b578-667cf3fe9b6f
470,ccc6e438-b449-424a-abfe-23447f7c8819
359,ccc6e320-99d6-4bb6-a2a3-6efbdde92da2
41,ccc6ea34-00cb-4967-a9bf-c4d8b6e6997c
162,ccc6e590-f9b4-4385-be98-b84ba5e0addb
234,ccc6e136-1422-4d19-a7df-326e9a8f4ca7
388,ccc6e4ee-e602-4c55-9a44-6ade6a7316f1
344,ccc6ee10-f701-4dc8-a2b9-357fa56d6098
569,ccc6e894-fd4c-4814-9a6c-f151a8200753
241,ccc6e953-6043-4416-9bdc-b38517b6cfd3
206,ccc6e56a-7b60-4dd4-8ad0-2e8af8c8b537
564,ccc6eae9-c576-46af-b3c0-8b5b6ec2e501
287,ccc6e5b8-667a-4048-8664-13a0a079184c
125,ccc6e555-5cc1-41c4-89ec-633538326c8f
74,ccc6e539-6253-414b-8d03-38f936bba051
328,ccc6e2d8-ab54-4d5f-99ce-226d3ff5c027
281,ccc6eb42-978e-47a3-ba32-c9ba34b8f6d6
162,ccc6ef3c-6fab-46f9-8677-dd65c35fd865
160,ccc6e346-83db-4da8-bfe1-63f260e8c888
572,ccc6e058-502b-437a-8b66-3cf2a9dc7310
97,ccc6e975-3a9a-429e-b06f-effaa5a7fb4a
324,ccc6ed72-33cc-41a8-85c1-27ee51fee893
354,ccc6ed6c-4a6b-4bcd-8fb4-82705c031a0f
100,ccc6eba7-1c6d-43f2-b6b3-7d68b717c6d1
199,ccc6ef5b-84bb-45d2-af3c-29db38a4f23e
119,ccc6efa6-70f6-4898-843c-68b61b8c1ae3
277,ccc6eff6-43ee-4fb3-b23f-c48c99fa1c82
85,ccc6e478-d98c-4c57-bf1a-b60f5647a81b
140,ccc6e6ad-b32b-4a86-92aa-9df5ca7dd3aa
353,ccc6ecee-8120-43a6-a7fb-a529ea5331e0
352,ccc6ef85-6e6a-4dfd-a864-7e5b807319f6
360,ccc6e9fb-410c-4ab2-a193-348eae9829d9
277,ccc6ebd5-8411-4e6c-8491-92300cff2dfe
424,ccc6e99b-16ef-4693-8a27-0db04495504a
68,ccc6ecb4-c232-4d66-8012-bd568258ba88
223,ccc6e2d8-6e96-46f5-b9b7-8fbcea0f159f
351,ccc6e8bb-f12f-4101-b9cd-29336f4350e4
324,ccc6ebb4-72c4-459b-9eaa-5ad36ce37254
200,ccc6ef94-c8d8-4dc0-99c3-222acf0c2f82
583,ccc6e855-2dee-4ae5-b56c-edcf39ac87bd
82,ccc6e135-f9b4-42ab-acc5-e8e9f3bf4532
234,ccc6e4c5-bce4-4442-8382-f52933ceee74
34,ccc6ecb7-bc59-4565-a8a8-c6cea8dcf6e6
571,ccc6eccf-5eb0-4d3e-b287-f153a3874e34
74,ccc6eb02-3269-463e-a45e-2d6f756c2077
365,ccc6edb4-027b-4bda-9acc-286333a64f9c
144,ccc6eac2-1dae-450a-ac6d-57f5b78567d8
234,ccc6e237-b4f9-48a5-9948-961e7d881d69
216,ccc6e423-6fdd-4317-b8e2-aee02f14e84f
92,ccc6e485-cb3f-485b-abf2-b4a3ae6bf555
184,ccc6e70c-c5de-4aa4-8499-416110671765
841,ccc6e722-4012-4221-98c4-3bcb46939c9a
179,ccc6eaf5-8e5e-4d0a-ab90-7bda439f606c
238,ccc6ead3-df53-4829-af90-55132d29d4d6
215,ccc6e05f-394c-4f5e-9208-b3c6d22a65db
385,ccc6e291-b651-45e8-b904-6ff50aa77ff4
232,ccc6e1db-0359-4376-8327-488ece19e15c
159,ccc6e2fa-9efc-4990-987f-3f76c59635fc
583,ccc6e906-1399-46ee-8045-c779f584d5c5
89,ccc6e3d3-5ed0-46a3-a4c7-c52391c2f651
459,ccc6e2b9-fac4-4171-87f8-20aa314c81e0
284,ccc6e6d4-aaeb-432b-9e16-a4fe602c0e64
389,ccc6e6f6-82fb-47ba-9de1-3c7ef0905f72
114,ccc6efdf-b54a-44af-8e3e-9201e227ad0a
59,ccc6e5f8-66ea-4cbb-aafb-bd644ba24123
380,ccc6e87f-61f2-489a-b0fb-40c15057acee
718,ccc6e08a-d1cd-476a-a766-1b5f6e25d02c
382,ccc6e0eb-ebb5-459a-a8a4-fd4ac6ddcd52
162,ccc6e650-4e77-4ab4-92eb-20e5fe31c14e
59,ccc6e08e-d168-47fb-a233-6839dfac7c58
181,ccc6e615-c5b7-44ef-9be7-96d82e9f2701
322,ccc6e9c8-bce7-4757-bd47-e5a8586dfeff
408,ccc6ea63-1c28-48b1-bec4-58609059bae8
22,ccc6e410-3924-4930-945c-be54c2298f49
206,ccc6eba5-d370-4b86-8910-f5c1959dda54
146,ccc6ea1e-ec99-4f94-8caf-87945bfde88d
531,ccc6ee70-d12b-4ee4-85c9-0bbf57c49269
274,ccc6e272-1d7c-4c41-b9c1-79553e0e4d9a
256,ccc6e294-b954-4073-a636-202f3b7fec62
143,ccc6e288-9564-4fee-9e89-6494207e4e59
284,ccc6e3df-866d-44b6-9b36-a5a026c39aa5
159,ccc6e60f-c06d-4b30-9410-21235690cc6f
244,ccc6ec32-3cd5-4875-9c1d-239efaf1b338
30,ccc6ee18-c219-4347-85fc-55fe3b12756f
222,ccc6e9f3-9cd2-4ee8-b27a-90fe04b0ba83
151,ccc6e4f8-3ee8-49af-87ef-32c17a515f3e
278,ccc6e46a-054c-455b-b6d5-5e81e1c5ee20
19,ccc6ee1c-e0ec-4ccc-aef3-5ad08608f95b
582,ccc6e374-8038-4a8e-b9f6-66b67addd7d6
38,ccc6e7f9-5c97-4fa7-9415-6533154c42eb
377,ccc6e086-999c-49a0-bc1a-255489a0ed69
190,ccc6e03e-149b-43ea-8b45-22a462630cd3
138,ccc6e31e-f48b-4c37-b64f-95c87a6a7944
314,ccc6e3f3-0cb4-45a8-8011-f772b0dbbee1
587,ccc6e106-60b4-4c05-86aa-69b18b367d86
50,ccc6ed6b-5420-4f54-acd8-33623cf78917
529,ccc6e40c-e9e7-4301-b6fc-2b8d9b3332f8
403,ccc6ee3d-d082-4624-9b2a-ed2af543aa46
183,ccc6e4b8-7430-4453-a033-dfaca50c02ef
169,ccc6ec0f-e9a3-4da9-a7e9-508cb58a7bfb
534,ccc6efe5-3d01-4d2d-ba20-4b221d1eec88
199,ccc6eff2-9fcd-4d0a-adb5-5c9fb1576d10
369,ccc6e73e-71c6-477f-816c-df9271134592
269,ccc6ed1f-d9c4-4afd-aa15-770426df837f
444,ccc6e3f9-fe7d-4fc9-8411-f8ddcec773bf
282,ccc6e339-4cb9-401d-8fdc-404fd9b06e0b
20,ccc6ee23-d6ee-46c6-a001-c619d9f6a096
155,ccc6e313-e1dc-49a8-a047-4eef565a0827
82,ccc6e0a8-e304-44e8-97ed-1783e6ea0b0e
411,ccc6ed88-e7f0-4d0d-a00c-a77c9a980198
415,ccc6ef58-4d80-4f94-8053-5a88660f552e
411,ccc6e982-563f-4325-ad9d-5abf36756dd8
532,ccc6e115-e4c7-4163-81f0-ec0bf5e822be
18,ccc6e885-5b75-4a62-a166-c17a0930e91f
147,ccc6ed8b-b8c0-4ab1-8331-8be0e52cb10f
376,ccc6e128-75a8-4450-a989-6d8e15e8508f
585,ccc6e9e5-50ca-4ec6-bace-0de94c439ffc
257,ccc6e49b-b564-432b-88ae-965258e6352f
15,ccc6e30c-f0d9-485d-ae5b-b623ed0ccfd0
339,ccc6e631-c27e-4808-9db4-2bc71cc66196
99,ccc6e5bd-4473-49c4-a927-6f2e77780780
153,ccc6e88f-fda3-4a39-ac84-2b0ca4bb0adf
99,ccc6e34d-5714-4cbf-b25b-7461a210bce9
60,ccc6e046-a2ea-4527-b290-9d012dbf3a0c
111,ccc6e2ac-2708-4941-bcaa-570c6fba2d11
324,ccc6e26c-7119-4711-94a4-3f690ecca905
172,ccc6e4f5-686d-439f-908f-c21ef05e9a0c
309,ccc6e2d7-09f7-410b-ab71-703099875270
250,ccc6eee2-4b87-4a9f-a02b-1985f64b75a3
578,ccc6eb3d-3229-4153-b9be-d6c33ed1506b
26,ccc6ee05-5122-480a-96ed-c7b844a97bf0
129,ccc6e9d7-0335-47fa-af17-4d9b8ead561f
279,ccc6e0eb-3214-4a90-8b48-d097ed9fd724
587,ccc6e0d2-78f0-46a0-9b0f-59bec022d94a
169,ccc6efa1-4776-480a-824d-8589fc479ce2
150,ccc6e5ac-f859-4f2b-bed3-9cba86673be9
324,ccc6e858-aeb0-4063-bba9-877cf6da4635
364,ccc6ea51-440c-481e-9fd0-71b81ae36ae9
377,ccc6ee8e-df4a-41bc-be06-c9e21c1161aa
335,ccc6e6ae-4c1e-41b6-987d-2e2d71483955
586,ccc6e453-4a3f-4456-b131-2a333f333f43
144,ccc6e45b-bf98-4ddc-9912-12297e58a5ec
294,ccc6e198-77d4-423a-b2cb-78907a6478b3
124,ccc6ed3c-fa5c-4596-9347-582830657e72
575,ccc6e6d8-421a-4d05-b35c-d2384527b200
128,ccc6eb56-9bcc-4a12-985f-062a53ea5814
441,ccc6e8f8-83f0-4a18-b45a-613e5a337123
578,ccc6e9b1-4c27-4d44-b34c-6944a17bf6ef
575,ccc6e5d1-8c16-4bfe-91fe-1acc91e4631d
190,ccc6eff7-ab94-44d3-bce1-943dc89a53e2
184,ccc6e248-d5a2-43f5-b110-882c302d1c49
390,ccc6e3c2-bbb2-4404-98a9-39ed30bde055
368,ccc6e9c7-00fe-409d-9c17-edbda7e704be
131,ccc6e642-c362-4206-a8aa-f92b7e00f47a
91,ccc6e6f1-e106-41dc-8a96-99f01508e485
56,ccc6ebcb-63fe-417a-bfce-fe698eb135ff
70,ccc6edca-a9ab-44fc-98ba-fc9ebed8c94b
396,ccc6e80f-b508-4a90-9c05-3a2cdff537b9
379,ccc6efcb-edeb-41c8-8620-3ed022568e55
67,ccc6e420-f45d-4a63-9b8c-5cc754de9b46
54,ccc6e860-5a8e-4193-8b61-9749486b28ac
231,ccc6efaa-620e-4cf8-a5e5-9f57f585bcf6
194,ccc6e64e-7ca2-407c-a588-73216f997a35
41,ccc6e728-4111-48fa-ba4d-0ff90ba719fb
575,ccc6eba7-9853-459c-a77a-7c4e93b31e42
329,ccc6e024-a5af-4d74-8b27-d06bbf6b6ed9
164,ccc6e854-8c85-4104-8676-2e54b9368e8c
359,ccc6e8f1-97c2-4367-80b3-f025231fa4dc
294,ccc6e4c9-a83f-41a4-b37a-81cf00f5a2f4
549,ccc6e7fd-681f-435e-9d61-a27551122d30
571,ccc6e0c0-dfde-49dc-900f-96ce52cd2a83
140,ccc6edda-2982-440f-b703-93bfc51d83d5
413,ccc6eb92-7f65-40bf-af4b-5320d3a2015a
350,c2d4c4d8-216b-4c5b-89e6-8a64d8263b79
572,ccc6e040-c5b9-4135-a489-04e9545fea00
385,ccc6ef7a-913d-4e86-998d-3d17ae1a4c5c
309,ccc6e5f4-e40f-473f-9447-95a5e8bfaebc
154,ccc6e233-1ea6-4295-b18d-4705727bfe2d
290,ccc6e9bf-c0ef-4adc-9446-f2d76cdcdec6
110,ccc6ea15-d1ef-4ba1-b226-4c9324b49b20
327,ccc6ed33-1af3-471b-92e1-95f98dbd7243
257,ccc6eea0-b0fc-40cc-81d1-fb903a64758e
52,ccc6eb79-d3d9-44fe-b950-519ea2dbe092
130,ccc6e8ce-5593-4241-866f-02f918edf44b
105,ccc6ea20-eeb6-49ff-ac0a-a9df2ed11623
183,ccc6e4d8-7741-4cab-ae03-166c21754d46
351,ccc6e1dc-5224-47fb-a730-3aa20e916e13
392,ccc6e48f-a087-4fe5-8830-6f706d083045
